Item Number,Cost
24000G,12.35
24004,12.54
24004-A,12.61
24004-NA,12.36
24004-N,12.29
25000-N,10.9
25008-N,13.26
25008W-N,11.76
25009-N,12.61
25015,14.88
25016-L,12.45
25016-N,12.48
25018-N,17.79
25008T-N,12.99
21006-NLP,13.6
31400-NL,13.6
31410-L,13.88
26002-A,15.14
26002-NA,14.89
26006-L,15.83
30001-N,15.55
30002-NL,17.41
30003-NL,14.76
30003-L,15.08
30004-N,14.9
29007,20.85
29007-N,20.6
34011-N,20.58
28010-L,24.83
28010-D,24.46
28011,24.17
32007,24.53
32008,25.19
23000,58.81
23010,35.63
33010,36
27005,16.59
27008,14.84
35060-L,15.96
27100,12.09
43020,1.05
43600,0.7
43600H,0.7
43601,0.62
43605,3.84
43615,4.22
43615H,4.22
43615-6PK,4.22
43703,3.97
43800,0.66
43805,4.26
43901,1.33
43905,4.76
41402,1.83
41403,1.94
41404D,2.51
41405,3.8657999999999997
41405D,4.0558000000000005
41405DH,4.0558000000000005
41406,4.08
41406D,4.28
41406DH,4.28
41413,2.84
41414,1.94
41420,3.62
41421,3.62
41423,3.36
41424-8PK,3.1
41425-8PK,3.1
41435,3.36
41436,3.03
41438,3.09
42500,2.49
43501,2.8
42502,2.49
43506,2.17
43507,2.33
43508,2.36
42510,2.06
42511,2.69
42513,2.22
41428,2.69
42516,2.46
42517,2.46
42515,2.1448
42519,2.54
42518,2.12
"42530, 42533",2.81
"42531, 42532",3.11
42534,3.09
42537,1.59
42538,1.59
43500,2.8
43501,2.8
43502,2.8
43502-RK,2.53
43503,3.08
43504,2.8
43506,2.17
43506-RK,2.09
43507,2.33
43507-RK,2.25
43508,2.36
43508-RK,2.31
43509,2.56
45025,3.71
45035-RK,8.44
45036-RK,8.43
46389,7.29
46390,7.29
46400,7.29
46400-RK,7.1
46401,7.89
46402,4.7
46403,5.02
46404,6.52
46400-RK,7.1
46408,7.29
46409,5.43
46409-RK,5.67
46410,5.86
46410-RK,6.1
46411,5.02
77700,3.51
77262,3.03
77262-3,1.44
77267,4.35
77271,3.1
77271-3,1.46
77276,5.66
77277-8PK,3.97
77278,6.46
77701,4.25
77283,6.56
77302-1,1.09
77304-1,1.11
77801-1,1.18
77802-1,1.17
77803V-1,0.93
77804-1,1.14
77805V,1.04
77807-1,1.06
77808-1,1.05
77809-1,1.06
77817-1,1.1418000000000001
77821-1,1.07
77511,3.6881711466666673
77512,3.6881711466666673
77514,3.6881711466666673
77513,3.6881711466666673
77511,3.6881711466666673
77010,2.73
77702,3.01
77703,3.16
77706,4.26
77800,2.16
77801,3.3903
77802,3.2703
77803,2.2203
77804,2.9903
77805,2.2503
77807,2.4003
77808,2.5
77809,2.5
77811DS,10.312199999999999
77811,10.86
77816,2.94
77817,3.0498000000000003
77818,2.6
77821,2.61
77822,0.07980000000000001
77824,2.89
77826,2.79
17002,1.22
17002D,1.28
17009,1.22
17009D,1.28
17011,1.22
17011D,1.28
16628,0.43
16626,0.22
44051YEL,2.51
44062,5.19
44094,1.57
44095,0.85
44096,0.54
44101,2.69
44116,2.75
44117,2.75
44126,2.5478
44127,1.79
44128,1.57
44129,1.58
44132,2.69
44133,2.69
44134,4.13
44203,0.94
44216,0.94
44217,0.94
44227,0.85
44232,0.94
44233,0.94
44303,4.49
44402,8.55
44403,8.55
44404,8.55
45126,8.55
45069,1
45091,1.57
45092,0.85
45093,0.54
45094,1.57
45095,0.85
45096,0.88
45097,0.54
45098,0.62
45099,0.93
A45064,1.57
B45064,0.88
C45064,0.54
42542,6.76
42545,15.06
42548,16.6548
42551,17.56
42552,19.225000000000005
42550P,9.15
42560,16.69
43608R,0.50730644
43910,7.86
44130,8.03
45021,12.42
45022,14.12
45023,12.93
45024,6
45026,17.79
45027,10.31
45031,5.03
45032,9.43
45033,6.51
45040W,8
45040,7.34
45040H,7.19
45049,8.17
45051,8.27088
45052,9.02
45061,8.02534
45070,10.23
45066,7.37
45072,5.3
45072-GBW,5.04
45072-HW,5.75
45072-RWREG,5.27
45075,9.1
45078,8.76
NEW,2.54
45080,13.51
45132,1.3
45133,2.06
45081,8.41
45101,12.84
45102,11.88
45104,7.67
45105,11.85
45106,12.73
NEW,2.54
45109,4.54
45120,11.51
45121,6.6148
45125,7.86
45131,4.13
77309,4.17
77310,1.3
77313P,4.73
77314P,4.7
77317,8.92
77812,6.49
45088/ 45089,4.89
42554,7.86
42555,3.4
42529,5.44
42556,8.83
44135,1.72
77836,3.25
45029,6.55
44060,1.4
77317X,0.55
45021T,0.0835
H0026,0.15
A0166,0.6
A41114,0.59
A41115,0.62
A41118,1.04
A41113,0.47
A41111,0.42
A41110,0.41
44056,0.88
A4105,1.05
A4106,1.03
A4107,1.03
45045,8.62
A17005,0.49
MISC,2.5
16009,1.52
77003,2.31
77421,22
77835,2.75
77268,24.5
42304,9.25
42305,9.75
42306,11.25
42307,17.5
42309,13
42310,13.5
42527,1.92
42528,2.54
41387,8.16
42514,2.69
16608,1.5475
17006,0.4
C45079,0.94
16070,13.97
16071,17.99
60158,1
41080,1
A1004,0.46
42544W-1oz,0.2
42544U-1oz,0.2
42544Y,0.3
Sum cost,Not Found
